player_id,player_url,fifa_version,fifa_update,fifa_update_date,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,league_id,league_name,league_level,club_team_id,club_name,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url
158023,/player/158023/lionel-messi/150002,15,2,2014-09-18,L. Messi,Lionel Andrés Messi Cuccittini,CF,93,95,100500000,550000,27,1987-06-24,169,67,53,La Liga,1,241,FC Barcelona,CF,10,,2004-07-01,2018,52,Argentina,1369,CF,10,Left,3,4,5,Medium/Low,Normal (170-),Yes,,"#Speedster, #Dribbler, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Forward","Finesse Shot, Speed Dribbler (AI), One Club Player, Team Player",93,89,86,96,27,63,84,94,71,89,85,96,89,90,76,96,96,90,94,94,95,80,73,77,60,88,48,22,92,90,76,,25,21,20,6,11,15,14,8,,89+3,89+3,89+3,92+3,90+3,90+3,90+3,92+3,92+3,92+3,92+3,90+3,79+3,79+3,79+3,90+3,62+3,62+3,62+3,62+3,62+3,54+3,45+3,45+3,45+3,54+3,15+3,https://cdn.sofifa.net/players/158/023/15_120.png
20801,/player/20801/c-ronaldo-dos-santos-aveiro/150002,15,2,2014-09-18,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,"LW, LM",92,92,79000000,375000,29,1985-02-05,185,80,53,La Liga,1,243,Real Madrid CF,LW,7,,2009-07-01,2018,38,Portugal,1354,LW,7,Right,4,5,5,High/Low,Normal (185+),Yes,,"#Speedster, #Dribbler, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward","Power Free-Kick, Flair, Long Shot Taker (AI), Speed Dribbler (AI)",93,93,81,91,32,79,83,95,86,82,87,93,88,79,72,92,91,94,93,90,63,94,94,89,79,93,63,24,91,81,85,,22,31,23,7,11,15,14,11,,91+1,91+1,91+1,89+3,91+1,91+1,91+1,89+3,89+3,89+3,89+3,87+3,77+3,77+3,77+3,87+3,63+3,63+3,63+3,63+3,63+3,57+3,52+3,52+3,52+3,57+3,16+3,https://cdn.sofifa.net/players/020/801/15_120.png
9014,/player/9014/arjen-robben/150002,15,2,2014-09-18,A. Robben,Arjen Robben,"RM, LM, RW",90,90,54500000,275000,30,1984-01-23,180,80,19,Bundesliga,1,21,FC Bayern München,SUB,10,,2009-08-28,2017,34,Netherlands,105035,RS,11,Left,2,4,5,High/Low,Normal (170-185),Yes,,"#Speedster, #Dribbler, #Distance Shooter, #Acrobat","Diver, Injury Prone, Avoids Using Weaker Foot, Selfish, Long Shot Taker (AI), Speed Dribbler (AI), Chip Shot (AI)",93,86,83,92,32,64,80,85,50,86,86,93,85,83,76,90,93,93,93,89,91,86,61,78,65,90,47,39,89,84,80,,29,26,26,10,8,11,5,15,,84+3,84+3,84+3,88+2,87+3,87+3,87+3,88+2,88+2,88+2,88+2,87+3,78+3,78+3,78+3,87+3,64+3,64+3,64+3,64+3,64+3,55+3,46+3,46+3,46+3,55+3,14+3,https://cdn.sofifa.net/players/009/014/15_120.png
41236,/player/41236/zlatan-ibrahimovic/150002,15,2,2014-09-18,Z. Ibrahimović,Zlatan Ibrahimović,ST,90,90,52500000,275000,32,1981-10-03,195,95,16,Ligue 1,1,73,Paris Saint-Germain,ST,10,,2012-07-01,2016,46,Sweden,1363,ST,10,Right,4,4,5,Medium/Low,Normal (185+),Yes,,"#Poacher, #Aerial Threat, #Distance Shooter, #Acrobat, #Strength, #Clinical Finisher, #Complete Forward","Power Free-Kick, Leadership, Flair, Long Shot Taker (AI), Technical Dribbler (AI)",76,91,81,86,34,86,76,91,76,84,92,88,80,80,76,90,74,77,86,85,41,93,72,78,93,88,84,20,86,83,91,,25,41,27,13,15,10,9,12,,87+3,87+3,87+3,84+3,86+3,86+3,86+3,84+3,86+3,86+3,86+3,83+3,76+3,76+3,76+3,83+3,61+3,65+3,65+3,65+3,61+3,56+3,55+3,55+3,55+3,56+3,17+3,https://cdn.sofifa.net/players/041/236/15_120.png
167495,/player/167495/manuel-neuer/150002,15,2,2014-09-18,M. Neuer,Manuel Peter Neuer,GK,90,90,63500000,300000,28,1986-03-27,193,92,19,Bundesliga,1,21,FC Bayern München,GK,1,,2011-07-01,2019,21,Germany,1337,GK,1,Right,4,1,5,Medium/Medium,Normal (185+),Yes,,,"GK Up for Corners, GK Long Throw, 1-on-1 Rush",,,,,,,25,25,25,42,25,25,25,25,41,31,58,61,43,89,35,42,78,44,83,25,29,30,25,20,37,,25,25,25,87,85,92,90,86,60,38+3,38+3,38+3,36+3,37+3,37+3,37+3,36+3,36+3,36+3,36+3,38+3,36+3,36+3,36+3,38+3,36+3,40+3,40+3,40+3,36+3,36+3,38+3,38+3,38+3,36+3,87+3,https://cdn.sofifa.net/players/167/495/15_120.png
41,/player/41/andres-iniesta-lujan/150002,15,2,2014-09-18,Iniesta,Andrés Iniesta Luján,"CM, LW",89,89,36000000,250000,30,1984-05-11,170,65,53,La Liga,1,241,FC Barcelona,LCM,8,,2002-07-01,2018,45,Spain,1362,LW,6,Right,4,4,5,High/Medium,Normal (170-),Yes,,"#Dribbler, #Playmaker ","Finesse Shot, Playmaker (AI), Technical Dribbler (AI)",75,72,89,91,59,63,85,73,54,93,74,92,80,70,89,94,76,75,83,90,86,65,54,78,59,75,58,68,87,93,71,,57,57,56,6,13,6,13,7,,77+3,77+3,77+3,87+2,82+3,82+3,82+3,87+2,88+1,88+1,88+1,88+1,86+3,86+3,86+3,88+1,76+3,77+3,77+3,77+3,76+3,70+3,63+3,63+3,63+3,70+3,14+3,https://cdn.sofifa.net/players/000/041/15_120.png
176580,/player/176580/luis-suarez/150002,15,2,2014-09-18,L. Suárez,Luis Alberto Suárez Díaz,"ST, CF",89,91,49500000,300000,27,1987-01-24,181,81,53,La Liga,1,241,FC Barcelona,RES,9,,2014-07-11,2019,60,Uruguay,,,,Right,4,4,5,High/Medium,Normal (170-185),Yes,,"#Acrobat, #Clinical Finisher","Diver, Beat Offside Trap, Selfish, Flair, Technical Dribbler (AI)",83,87,79,88,42,79,77,91,75,82,85,90,86,84,64,89,88,79,86,91,60,84,69,86,76,82,78,41,88,84,85,,30,45,38,27,25,31,33,37,,86+3,86+3,86+3,85+3,86+3,86+3,86+3,85+3,87+3,87+3,87+3,84+3,77+3,77+3,77+3,84+3,67+3,67+3,67+3,67+3,67+3,62+3,57+3,57+3,57+3,62+3,34+3,https://cdn.sofifa.net/players/176/580/15_120.png
7826,/player/7826/robin-van-persie/150002,15,2,2014-09-18,R. van Persie,Robin van Persie,ST,88,88,40500000,230000,30,1983-08-06,187,71,13,Premier League,1,11,Manchester United,RS,20,,2012-08-17,2016,34,Netherlands,105035,LS,9,Left,3,4,5,Medium/Low,Normal (185+),Yes,,"#Distance Shooter, #Clinical Finisher","Injury Prone, Flair, Long Shot Taker (AI), Technical Dribbler (AI)",74,90,82,83,33,68,81,91,73,85,92,84,86,81,75,87,73,74,80,88,59,90,59,72,72,86,55,34,90,82,86,,23,32,21,9,10,5,7,8,,85+3,85+3,85+3,84+3,86+2,86+2,86+2,84+3,85+3,85+3,85+3,82+3,76+3,76+3,76+3,82+3,60+3,63+3,63+3,63+3,60+3,54+3,48+3,48+3,48+3,54+3,13+3,https://cdn.sofifa.net/players/007/826/15_120.png
121944,/player/121944/bastian-schweinsteiger/150002,15,2,2014-09-18,B. Schweinsteiger,Bastian Schweinsteiger,"CM, CDM",88,88,39000000,200000,29,1984-08-01,183,79,19,Bundesliga,1,21,FC Bayern München,SUB,31,,2002-07-01,2016,21,Germany,1337,SUB,7,Right,3,3,4,High/High,Normal (170-185),Yes,,"#Playmaker, #Engine, #Tactician ","Injury Prone, Leadership, Playmaker (AI), One Club Player",61,81,85,82,78,80,81,76,79,88,83,81,82,78,87,86,58,64,74,90,75,86,82,86,77,86,80,86,82,86,81,,69,80,77,14,14,13,13,11,,80+2,80+2,80+2,80+2,82+2,82+2,82+2,80+2,84+2,84+2,84+2,82+2,86+2,86+2,86+2,82+2,81+2,84+2,84+2,84+2,81+2,81+2,79+2,79+2,79+2,81+2,18+2,https://cdn.sofifa.net/players/121/944/15_120.png
156616,/player/156616/franck-ribery/150002,15,2,2014-09-18,F. Ribéry,Franck Bilal Ribéry,LM,88,88,33000000,200000,31,1983-04-07,170,72,19,Bundesliga,1,21,FC Bayern München,SUB,7,,2007-07-01,2017,18,France,,,,Right,4,5,4,High/Medium,Normal (170-),Yes,,"#Dribbler, #Acrobat","Injury Prone, Flair, Speed Dribbler (AI)",89,78,85,92,29,62,83,79,41,89,81,92,84,81,74,91,91,87,92,89,92,76,51,72,62,73,52,36,83,88,80,,25,25,26,15,6,9,7,10,,79+2,79+2,79+2,87+1,82+2,82+2,82+2,87+1,87+1,87+1,87+1,86+2,77+2,77+2,77+2,86+2,63+2,63+2,63+2,63+2,63+2,53+2,44+2,44+2,44+2,53+2,14+2,https://cdn.sofifa.net/players/156/616/15_120.png
